,Reviews,polarity
0,awesome taste,0.6249
1,nothing,0.0
2,ok,0.296
3,taste is good,0.4404
4,Totally tasteless,0.0
5,"No salt, no spice, and bread was sweet. Never had such tasteless omelette",0.3995
6,the bottle was squeezed and damaged.,-0.4404
7,The tea tasted like it was burnt,0.3612
8,I've complained about chai quality to their kondapur outlet too and then the owner was starting to tell me the maching process to make this fine product. wow,0.4767
9,the packing did not match the image,0.0
10,"I went with my pals, we had classy experience.. Great customer service...!! So many healthy options  such as fit tea for healthy freaks & so on...!  sandwiches are just yummmmm.... Pizza pockets are filling and to my surprise they have ayurvedic and healthy shakes... Must try option... would love to revisit again and again",0.974
11,"Chai lovers can really enjoy. Pretty good place with seating availability. Taste is delicious,i recommend to visit😊",0.9684
12,I promise you will have good tea time and can experience the utmost best service,0.8555
13,Awesome taste .. one should try and enjoy the authentic taste of indian chai.,0.8074
14,Excellent place to relax and have a fresh coffee,0.836
15,Multiple varieties of tea or coffee snacks available,0.0
16,Are you a Chai lover please visit this FIT chai branch and experience the most authentic chai. …More,0.8531
17,"One of the best chai shop in kondapur, raghavendra colony area. Do try their fit chai!!",0.8065
18,Went there for a omellate. It was good and quick service,0.4404
19,Worst service i got till now 😔 it's better to not to get anything from there,-0.2263
20,Worest tea and taste is also not good,-0.3412
21,Nice coffe and relaxation ... Good service,0.8442
22,The taste was awesome and healthy too....👍,0.7783
23,Tried Golden milkshake and tulasi milkshake !!!,0.0
24,Worth drinking !!!,0.4168
25,Wonderful tea !!! Loved it,0.8582
26,Varieties of tea are available.  They mainly focus on your calorie needs and to keep your body healthy. Staff is good. Parking is available for both cars and bike. Price is reasonable.  Ambience is OK. They are not regular teas.,0.6573
27,I just stumbled upon this on my way to home. The name is perfect for their menu. If anyone wants to try something different with health benefits as perks. I recommend it.,0.8316
28,It's yammi tea.....! I felt very happy after having a nice Tea....! Thank you fit chai....!,0.913
29,Must try golden milk very taste and healthy,0.4522
30,Super healthy and tasty fitchai,0.765
